Div,Div,,,,,,,,,,
Date,Date,,,,,,,,,,
HomeTeam,Time,,,,,,,,,,
AwayTeam,HomeTeam,,,,,,,,,,
Full time home goals,AwayTeam,,,,,,,,,,
Full time away goals,FTHG,,,,,,,,,,
Full time result,FTAG,,,,,,,,,,
Half time home goals,FTR,,,,,,,,,,
Half time away goals,HTHG,,,,,,,,,,
Half time result,HTAG,,,,,,,,,,
Referee,HTR,,,,,,,,,,
Home shots,Referee,,,,,,,,,,
Away shots,HS,,,,,,,,,,
Home shots on target,AS,,,,,,,,,,
Away shots on target,HST,,,,,,,,,,
Home fouls,AST,,,,,,,,,,
Away fouls,HF,,,,,,,,,,
Home corners,AF,,,,,,,,,,
Away corners,HC,,,,,,,,,,
Home yellows,AC,,,,,,,,,,
Away yellows,HY,,,,,,,,,,
Home reds,AY,,,,,,,,,,
Away reds,HR,,,,,,,,,,
Bet365 home odds,AR,,,,,,,,,,
Bet365 draw odds,B365H,Bet365 home odds,,,,B365H,Bet365 home odds,,,,B365H = Bet365 home odds
Bet365 away odds,B365D,,,,,BWH,Bet&Win home odds,,,,BWH = Bet&Win home odds
Bet&Win home odds,B365A,,,,,IWH,Interwetten home odds,,,,IWH = Interwetten home odds
gamebookers home odds,BWA,,,,,PSH,Pinnacle home win odds,,,,PSH = Pinnacle home win odds
gamebookers draw odds,IWH,Interwetten home odds,,,,WHH,William Hill home win odds,,,,WHH = William Hill home win odds
gamebookers away odds,IWD,,,,,VCH,VC Bet home odds,,,,VCH = VC Bet home odds
Interwetten home odds,IWA,,,,,MaxH,Market maximum home win odds,,,,MaxH = Market maximum home win odds
Interwetten draw odds,PSH,Pinnacle home win odds,,,,AvgH,Market average home win odds,,,,AvgH = Market average home win odds
Interwetten away odds,PSD,,,,,,,,,,
Ladbrokes home odds,PSA,,,,,,,,,,
Ladbrokes draw odds,WHH,William Hill home win odds,,,,,,,,,
Ladbrokes away odds,WHD,,,,,,,,,,
Sportingbet home odds,WHA,,,,,,,B365H,,,
Sportingbet draw odds,VCH,VC Bet home odds,,,,,,B365D,,,
Sportingbet away odds,VCD,,,,,,,B365A,,,
Will Hill home odds,VCA,,,,,,,WHH,,,
Will Hill draw odds,MaxH,Market maximum home win odds,,,,,,WHD,,,
Will Hill away odds,MaxD,,,,,,,WHA,,,
Stan James home odds,MaxA,,,,,,,PSH,,,
Stan James draw odds,AvgH,Market average home win odds,,,,,,PSD,,,
Stan James away odds,AvgD,,,,,,,PSA,,,
VC Bet home odds,AvgA,,,,,,,MaxH,,,
VC Bet draw odds,B365>2.5,,,,,,,MaxD,,,
VC Bet away odds,B365<2.5,,,,,,,MaxA,,,
Betbrain 1X2 bookies,P>2.5,,,,,,,,,,
Betbrain max home odds,P<2.5,,,,,,,,,,
Betbrain average home odds,Max>2.5,,,,,,,,,,
Betbrain max draw odds,Max<2.5,,,,,,,,,,
Betbrain average draw odds,Avg>2.5,,,,,,,,,,
Betbrain max away odds,Avg<2.5,,,,,,,,,,
Betbrain average draw odds,AHh,,,,,,,,,,
Betbrain over/under bookies,B365AHH,,,,,,,,,,
Betbrain max >2.5,B365AHA,,,,,,,,,,
Betbrain average >2.5,PAHH,,,,,,,,,,
Betbrain max <2.5,PAHA,,,,,,,,,,
Betbrain average <2.5,MaxAHH,,,,,,,,,,
Betbrain Asian bookies,MaxAHA,,,,,,,,,,
Betbrain Asian home handicap,AvgAHH,,,,,,,,,,
Betbrain max Asian home odds,AvgAHA,,,,,,,,,,
Betbrain average Asian home odds,B365CH,,,,,,,,,,
Betbrain max Asian away odds,B365CD,,,,,,,,,,
Betbrain average Asian away odds,B365CA,,,,,,,,,,
,BWCH,,,,,,,,,,
,BWCD,,,,,,,,,,
,BWCA,,,,,,,,,,
,IWCH,,,,,,,,,,
,IWCD,,,,,,,,,,
,IWCA,,,,,,,,,,
,PSCH,,,,,,,,,,
,PSCD,,,,,,,,,,
,PSCA,,,,,,,,,,
,WHCH,,,,,,,,,,
,WHCD,,,,,,,,,,
,WHCA,,,,,,,,,,
,VCCH,,,,,,,,,,
,VCCD,,,,,,,,,,
,VCCA,,,,,,,,,,
,MaxCH,,,,,,,,,,
,MaxCD,,,,,,,,,,
,MaxCA,,,,,,,,,,
,AvgCH,,,,,,,,,,
,AvgCD,,,,,,,,,,
,AvgCA,,,,,,,,,,
,B365C>2.5,,,,,,,,,,
,B365C<2.5,,,,,,,,,,
,PC>2.5,,,,,,,,,,
,PC<2.5,,,,,,,,,,
,MaxC>2.5,,,,,,,,,,
,MaxC<2.5,,,,,,,,,,
,AvgC>2.5,,,,,,,,,,
,AvgC<2.5,,,,,,,,,,
,AHCh,,,,,,,,,,
,B365CAHH,,,,,,,,,,
,B365CAHA,,,,,,,,,,
,PCAHH,,,,,,,,,,
,PCAHA,,,,,,,,,,
,MaxCAHH,,,,,,,,,,
,MaxCAHA,,,,,,,,,,
,AvgCAHH,,,,,,,,,,
,AvgCAHA,,,,,,,,,,
,season,,,,,,,,,,
